id,parent_id,name
1,113,"Москва"
2,113,"Санкт-Петербург"
3,1261,"Екатеринбург"
4,1202,"Новосибирск"
5,,"Украина"
6,1001,"Австралия"
7,1001,"Австрия"
8,1422,"Майкоп"
9,,"Азербайджан"
10,1216,"Горно-Алтайск"
11,1217,"Барнаул"
12,1932,"Благовещенск"
13,1001,"Армения"
14,1008,"Архангельск"
15,1505,"Астрахань"
16,,"Беларусь"
17,1817,"Белгород"
18,1001,"Бельгия"
19,1828,"Брянск"
20,1118,"Улан-Удэ"
21,1001,"Великобритания"
22,1948,"Владивосток"
23,1716,"Владимир"
24,1511,"Волгоград"
25,1739,"Вологда"
26,1844,"Воронеж"
27,1001,"Германия"
28,,"Грузия"
29,1424,"Махачкала"
30,1001,"Дания"
31,1941,"Биробиджан"
32,1754,"Иваново"
33,1001,"Израиль"
34,1434,"Магас"
35,1124,"Иркутск"
36,1001,"Ирландия"
37,1001,"Испания"
38,1001,"Италия"
39,1463,"Нальчик"
40,,"Казахстан"
41,1020,"Калининград"
42,1553,"Элиста"
43,1859,"Калуга"
44,1943,"Петропавловск-Камчатский"
45,1001,"Канада"
46,1471,"Черкесск"
47,1229,"Кемерово"
48,,"Кыргызстан"
49,1661,"Киров"
50,1001,"Китай"
51,1041,"Сыктывкар"
52,1771,"Кострома"
53,1438,"Краснодар"
54,1146,"Красноярск"
55,1308,"Курган"
56,1880,"Курск"
57,1001,"Латвия"
58,1890,"Липецк"
59,1001,"Литва"
60,1946,"Магадан"
61,1620,"Йошкар-Ола"
62,1001,"Молдавия"
63,1556,"Саранск"
64,1061,"Мурманск"
65,1001,"Нидерланды"
66,1679,"Нижний Новгород"
67,1051,"Великий Новгород"
68,1249,"Омск"
69,1898,"Орел"
70,1563,"Оренбург"
71,1575,"Пенза"
72,1317,"Пермь"
73,1077,"Петрозаводск"
74,1001,"Польша"
75,1090,"Псков"
76,1530,"Ростов-на-Дону"
77,1704,"Рязань"
78,1586,"Самара"
79,1596,"Саратов"
80,1174,"Якутск"
81,1960,"Южно-Сахалинск"
82,1475,"Владикавказ"
83,1103,"Смоленск"
84,1481,"Ставрополь"
85,1001,"США"
86,1001,"Таджикистан"
87,1905,"Тамбов"
88,1624,"Казань"
89,1783,"Тверь"
90,1255,"Томск"
91,1169,"Кызыл"
92,1913,"Тула"
93,1001,"Туркменистан"
94,1001,"Турция"
95,1342,"Тюмень"
96,1646,"Ижевск"
97,,"Узбекистан"
98,1614,"Ульяновск"
99,1347,"Уфа"
100,1001,"Финляндия"
101,1001,"Франция"
102,1975,"Хабаровск"
103,1187,"Абакан"
104,1384,"Челябинск"
105,1500,"Грозный"
106,1192,"Чита"
107,1652,"Чебоксары"
108,1001,"Швейцария"
109,1001,"Эстония"
110,1001,"Южная Корея"
111,1001,"Япония"
112,1806,"Ярославль"
113,,"Россия"
114,1001,"Венгрия"
115,5,"Киев"
116,2121,"Винница"
117,2126,"Днепр"
118,2134,"Донецк"
119,2147,"Житомир"
120,2155,"Запорожье"
121,2160,"Ивано-Франковск"
122,2169,"Кировоград"
123,2173,"Луганск"
124,2123,"Луцк"
125,2180,"Львов"
126,2185,"Николаев"
127,2188,"Одесса"
128,2193,"Полтава"
129,2198,"Ровно"
130,2114,"Севастополь"
131,2114,"Симферополь"
132,2200,"Сумы"
133,2204,"Тернополь"
134,2152,"Ужгород"
135,2206,"Харьков"
136,2209,"Херсон"
137,2212,"Хмельницкий"
138,2216,"Черкассы"
139,2224,"Черновцы"
140,2220,"Чернигов"
145,113,"Ленинградская область"
146,1001,"Сербия"
147,1368,"Ханты-Мансийск"
148,1001,"Тайвань"
149,1001,"Швеция"
150,40,"Аксай"
151,40,"Аксу"
152,40,"Актау"
153,40,"Атырау"
154,40,"Актобе"
155,40,"Арысь"
156,40,"Алга"
157,40,"Аягоз"
158,40,"Аральск"
159,40,"Нур-Султан"
160,40,"Алматы"
161,40,"Аркалык"
162,40,"Баутино"
163,40,"Бейнеу"
164,40,"Балхаш"
165,40,"Ерейментау"
166,40,"Жезказган"
167,40,"Жанатас"
168,40,"Зайсан"
169,40,"Алтай"
170,40,"Иссык"
171,40,"Капчагай"
172,40,"Костанай"
173,40,"Кентау"
174,40,"Кызылорда"
175,40,"Казалы"
176,40,"Кокшетау"
177,40,"Караганда"
178,40,"Каратау"
179,40,"Ленгер"
180,40,"Петропавловск"
181,40,"Павлодар"
182,40,"Рудный"
183,40,"Риддер"
184,40,"Сатпаев"
185,40,"Семей"
186,40,"Солнечный"
187,40,"Тараз"
188,40,"Талдыкорган"
189,40,"Текели"
190,40,"Темиртау"
191,40,"Торгай"
192,40,"Туркестан"
193,40,"Уральск"
194,40,"Усть-Каменогорск"
195,40,"Хромтау"
196,40,"Шемонаиха"
197,40,"Щучинск"
198,40,"Экибастуз"
199,1001,"Чехия"
200,1001,"Болгария"
202,1001,"Гвинея"
203,1001,"Вьетнам"
204,1001,"Новая Зеландия"
205,40,"Шымкент"
206,1001,"Люксембург"
207,1001,"Норвегия"
208,1001,"ОАЭ"
209,1001,"Индия"
210,1001,"Катар"
211,1001,"ЮАР"
212,1586,"Тольятти"
213,1001,"Греция"
214,1146,"Дудинка"
215,1146,"Тура"
216,1192,"Агинское"
217,1124,"Усть-Ордынский"
218,1943,"Палана"
219,1982,"Анадырь"
233,1001,"Сингапур"
234,1001,"Румыния"
235,1001,"Аргентина"
236,1001,"Кипр"
237,1438,"Сочи"
238,1001,"Малайзия"
239,1001,"Шотландия"
240,1001,"Нигерия"
241,1001,"Португалия"
242,1001,"Эквадор"
243,1001,"Бразилия"
244,1001,"Тунис"
245,1001,"Камбоджа"
246,1146,"Норильск"
247,1679,"Дзержинск"
248,1679,"Арзамас"
249,1679,"Саров"
300,1001,"Таиланд"
301,1859,"Обнинск"
302,1001,"Исландия"
303,1001,"Бангладеш"
304,1414,"Салехард"
305,1001,"Египет"
306,1001,"Буркина Фасо"
311,1001,"Демократическая Республика Конго"
312,1001,"Республика Конго"
316,1001,"Пакистан"
317,1001,"Сирия"
318,1001,"Словакия"
1001,,"Другие регионы"
1002,16,"Минск"
1003,16,"Гомель"
1004,16,"Могилев"
1005,16,"Витебск"
1006,16,"Гродно"
1007,16,"Брест"
1008,113,"Архангельская область"
1009,1008,"Каргополь"
1010,1008,"Коряжма"
1011,1008,"Котлас"
